season,benzene(ug/mg3),NO,NO2,tolune,Nox,O3,pm2.5,pm10,temperature,wind direcction,relative humidity,wind speed,ambient temp
summer,NA,170.03,103.25,NA,324.18,37.75,192.34,584.87,34.07,216.51,27.54,0.74,39.32
summer,NA,94.3,83.85,NA,204.17,63.53,104.03,467.16,36.37,243.18,21.48,0.86,39.35
summer,NA,30.13,96.56,NA,130.35,38.94,78.05,385.86,34.24,224.94,20.77,1.06,37.5
summer,NA,96.1,111.12,NA,230.24,72.46,216.86,331.43,34.51,262.28,25.86,1.6,33.28
summer,NA,75.52,113.17,NA,203.94,52.55,190.1,450.6,33.42,222.82,33.32,1.32,37.24
summer,NA,76.52,83.7,NA,179.75,54.08,350.73,533.85,30.68,137.78,30.24,1.7,35.42
summer,NA,13.37,36.59,NA,56.18,37.81,183.35,690.19,34.27,183.38,31.93,1.07,34.63
summer,NA,34.3,37.67,NA,80.52,22.24,99.75,549.17,36.92,203.36,29.67,1,32.93
summer,NA,121.99,74.75,NA,233.19,21.51,176.51,"1,011.07",37.63,174.62,39.31,1.33,27.43
summer,NA,144.18,103.3,NA,288.92,26.35,116.03,508.61,38.11,221.97,54.08,0.75,29.35
summer,NA,100.21,114.91,NA,239.2,23.14,103.11,408.6,36.79,246.44,52.44,0.43,38.91
summer,NA,62.21,102.84,NA,177.72,41.36,53.27,359.62,33.13,144.04,29.41,1.18,38.29
summer,NA,105.33,88.18,NA,222.41,49.56,36.61,141.21,31,138.59,28.74,2.28,34.38
summer,NA,154.39,83.98,NA,285.64,74.29,46.6,153.95,33.25,98.99,39.74,4.18,31.44
summer,NA,109.51,89.64,NA,230.06,62.95,59.99,244.9,30.76,97.69,50.07,4.55,28.66
summer,NA,42.34,82.81,NA,132.94,38.03,63.26,181.59,34.07,114.64,59.32,2.7,32.69
summer,2.53,73.37,82.54,24.12,175.05,46.66,111.34,468.46,36.25,109.47,47.63,1.83,29.23
monsoon,3.19,103.66,86.98,19.18,219.15,61.73,142.79,628.88,38.77,113.43,60.94,2.46,33.16
monsoon,1.67,69.88,79.14,7.95,165.93,56.4,142.36,688.69,40.83,218.32,49.07,0.83,36.31
monsoon,1.63,83.81,68.49,16.96,178.13,26.07,124.95,673.1,41.12,240.65,36.12,0.63,38.7
monsoon,1.8,10.31,64.04,9.74,77.7,17.71,75.27,464.6,39.54,241.5,28.56,0.89,40.28
monsoon,1.72,8.06,52.39,13.88,63.97,26.13,75.31,407.08,33.64,256.27,23.44,0.94,40.62
monsoon,3.73,2.33,49.55,17.52,56.71,30.4,43,287.73,33.21,264.67,26.46,0.98,38.64
monsoon,3.94,46.65,57.04,19.54,117.14,20.4,53.97,198.75,34.42,219.57,34.67,1.94,31.13
monsoon,1.36,15.51,57.82,8.19,77.59,20.25,67.17,326.99,38.01,96.56,49.63,3.7,30.76
monsoon,2.05,89.32,58.85,10.28,176.52,24.91,109.61,267.43,36.32,151.51,54.48,1.36,33
monsoon,1.9,63.48,47.5,7.4,131.07,32.22,61.03,NA,36.38,140.61,49.08,1.1,34.81
monsoon,1.91,11.81,35.7,6.77,54.47,29.74,83.47,140.47,40.78,156.76,41.95,0.79,32.88
monsoon,2.14,40.67,37.59,22.94,91.57,29.89,95.49,556.06,37.53,176.36,38.69,1.34,36.16
monsoon,1.97,54.95,37.03,15.71,108.71,16.99,85.29,547.9,41.78,219.48,33.08,0.76,37.79
monsoon,2.61,88.85,45.44,12.62,161.95,6.56,80.01,517.98,22.81,230.72,29.45,0.85,37.11
monsoon,3.78,18.42,53.3,16.26,79.33,8.67,57.4,249.42,29.43,232.14,29.29,0.8,36.29
monsoon,1.78,33.87,53.63,7.19,96.77,28.38,50.27,274.14,36.59,203.17,31.9,0.84,30.22
monsoon,2.59,116.23,67.79,13.44,219.43,20.7,80.33,617.34,31.52,151.3,54.33,1.93,30.4
monsoon,1.81,108.35,67.52,13.62,208.2,21.42,62.97,602.64,21.99,194.24,56.5,1.05,33.47
monsoon,1.62,64.11,50.08,24.93,134.78,25.65,35.13,213.35,34.49,246.64,51.69,0.71,32.6
monsoon,1.25,36.97,55.3,21.55,103.54,16.96,64.06,136.27,34.98,208.72,53.66,1.03,27.73
monsoon,1.32,29.97,44.15,10.9,82.25,17.57,79.09,404.12,36.7,150.75,67.83,1.14,28.38
monsoon,1.51,24.92,36.72,18.13,69.29,19.2,75,377.03,41.1,169.77,70.46,1.26,31.36
monsoon,3.23,14.73,35.59,27.04,56.55,34.53,98.29,527.07,44.79,242.44,58.42,0.76,33.3
monsoon,2.78,6.28,35.49,22.05,48.92,19.15,81.78,276.72,43.93,234.53,52.1,0.79,34.95
monsoon,2.94,6.75,29.58,13.36,44.21,20.71,58.57,183.33,46.31,142.57,51.15,0.68,35.94
monsoon,1.5,27.22,36.12,18.74,73.82,20.8,44.78,179.56,29.49,100.45,47.24,1.66,34.95
monsoon,1.03,16.53,32.25,22.59,56.58,24.52,39.32,84.83,24.02,99.04,54.39,2.22,35.17
monsoon,1,86.38,34.73,18.04,151.98,22.78,25.69,77.43,35.03,90.43,54.91,3,30.18
monsoon,0.92,31.84,42.5,23.2,83.83,33.61,33.39,65.79,28.83,152.54,71.52,1.55,30.33
monsoon,1.12,19.39,31.05,13.18,57.58,11.97,65.77,160.5,54.12,107.29,74.65,1.64,28.59
monsoon,0.6,9.58,28.4,6.57,45.35,15.35,23.99,67.43,35.89,158.18,77.61,0.99,30.06
monsoon,1.17,12.67,30.51,9.08,51.99,17.54,64.91,314.72,35.32,153.13,72.06,1.05,22.91
monsoon,1.29,7.72,22.41,20.9,39.44,29.26,63.98,553.15,29.16,108.78,76.53,1.95,30.16
monsoon,1.45,10.13,17.33,24.25,38.51,24.71,57.2,540.56,35.56,165.54,64.84,0.6,33.8
monsoon,0.94,14.05,18.55,5.74,44.49,28.8,55.52,247.9,36.67,224.64,59.28,0.56,33.91
monsoon,1.02,16.13,29.46,4.57,53.17,23.68,50.71,155.6,25.62,209.61,54.71,0.61,29.96
monsoon,2.06,22.93,32.17,9.83,62.5,35.04,67.5,435.16,24.4,124.78,63.2,1.88,28.14
monsoon,2.42,4.88,20.26,7.69,37.79,18.39,88.7,525.31,28.77,140.91,66.82,1.21,31.45
monsoon,2.71,32.22,28.97,10.09,73.63,18.07,54.8,292.6,42.02,194.97,55.14,0.47,34.81
monsoon,1.76,80.42,34.15,5.94,140.79,17.49,50.27,130.42,23.62,195.6,48.75,0.44,34.46
monsoon,2.35,133.32,38.31,12.64,216.31,19.45,36.3,111.05,28.3,213.17,51.05,1.16,30.12
monsoon,3.74,133.91,46.44,16.18,224.23,20.92,32.96,151.39,29.51,152.3,69.67,1.58,28.87
monsoon,4.01,118.54,40.09,25.54,197.6,28.01,42.42,167.94,29.59,124.8,70.98,1.75,31.38
monsoon,2.72,70.34,32.94,11.94,125.57,22.72,46.44,154.12,33.47,81.6,60.6,2.57,31.86
monsoon,2.54,66.9,40.83,19.05,128.91,10.87,53.4,176.68,41.71,79.95,60.5,2.9,31.61
monsoon,4.1,17.82,3.63,24.95,27.66,10.73,51.53,159.62,56.99,83.78,64.37,2.31,32.06
monsoon,3.08,19.07,21.74,14.27,46.23,17.37,46.71,159.56,28.18,83.78,65.3,2.27,30.29
monsoon,1.53,29.21,37.55,5.37,77.36,14.39,79.1,281.7,33.11,97.1,70.72,1.59,32.95
monsoon,1.39,43.61,42.87,4.26,98.97,12.43,39.71,105.46,44.85,97.31,61.17,1.43,34.31
monsoon,1.6,114.26,46.01,7.3,197.01,11.87,32.9,120.11,37.29,146.41,59.09,0.73,28.8
monsoon,2.06,101.72,42.59,8.04,176.95,15.84,31.85,79.24,50.63,103.21,71.68,2.02,31.84
monsoon,1.91,122.46,44.8,4.74,207.16,22.48,40.05,84.45,21.2,88.83,63.69,2.55,29.55
monsoon,2.34,98.26,49.19,8.31,177.97,19.61,27.09,55.13,56.64,88.88,68.59,3.48,28.23
monsoon,2.37,89.91,56.36,8.33,173.4,25.42,26.67,80.87,31.59,92.89,73.37,2.91,29.49
monsoon,1.64,81.39,51.01,10.27,156.58,23.66,35.14,120.87,1.17,96.2,71.85,2.81,29.41
monsoon,2.13,70.8,57.8,21.76,148.21,18.85,39.13,135.71,16.72,92.26,72,3.26,29.5
monsoon,1.23,78.2,51.81,13.94,152.92,11.98,46.74,163.88,30.45,96.85,72.03,1.91,31.84
monsoon,1.24,22.93,30.49,15.09,60.8,10.43,36.33,90.54,33.46,89.31,57.41,2.28,31
monsoon,2.16,29.43,31.76,16.14,73.59,9.49,26.99,133.17,32.27,90.41,65.21,2.61,30.63
monsoon,2.11,5.82,25.41,17.32,43.17,9.83,36.12,61.81,33.99,104.27,66.2,3.22,31.61
monsoon,1.41,14.17,28.85,9.62,51.39,10.34,40.25,136.92,32.85,168.94,62.72,1.37,28.37
monsoon,1.75,32.8,38.16,20.68,83.09,9.85,42.33,395.29,35.21,178.4,78.61,0.45,29.03
monsoon,2.13,34.37,37.07,20.58,82.96,10.63,45.52,448.43,35.9,265.49,76.53,0.35,29.75
monsoon,2.31,20.22,30.45,26.93,56.45,7.88,47.66,374.6,34.67,270.9,69.81,0.35,30.85
monsoon,1.4,19.83,28.98,25.2,164.66,13.12,64.29,437.31,34.38,266.95,64.19,1.03,30.83
monsoon,1.77,38.3,17.77,36.54,219.28,22.08,84.77,426.9,33.18,213.9,65.06,1.19,32.19
monsoon,1.17,60.02,26.24,11.6,316.89,17.23,65.96,164.53,33.37,217.38,59.94,0.58,32.66
monsoon,1.95,30.45,8.93,20.05,173.33,6.05,52.17,189.73,33.23,200.95,60.07,0.85,29.04
monsoon,2.34,46.61,8.85,9.84,237.53,13.86,67.47,172.63,32.93,136.89,75.11,0.84,30.9
monsoon,2.52,11.26,7.36,13.78,96.73,8.42,62.65,279.64,29.69,127.75,69.91,1.1,31.16
monsoon,2.51,37.54,13.46,8.66,210.37,7.85,38.48,260.14,33.29,157.44,70.72,0.74,31.7
monsoon,2.94,168.06,3.39,12.32,714.93,20.34,29.99,243.71,33.92,254.62,66.71,0.82,32.52
monsoon,2.29,187.86,2.53,8.35,792.12,20.62,36.03,491.19,32.77,268.2,60.49,1.54,31.98
monsoon,2.16,153.12,7.44,8.59,660.05,46.23,41.98,339.38,35.7,265.69,59.23,1.45,32.06
monsoon,2.08,155.31,4.26,14.38,666.25,15.61,45.76,206.84,30.96,255.12,60.45,1.03,32.36
monsoon,5.39,117.73,26.72,19.73,558.39,16.21,49.89,186.32,31.92,239.88,55.67,0.72,33.72
monsoon,4.64,130.57,15.32,16.65,582.85,9.99,59.23,310.71,31.54,274.39,54.08,0.89,33.47
monsoon,6.14,102.44,15.92,25.21,468.44,10.63,49.47,233.48,33.03,281.04,53.01,1.2,34.29
monsoon,5.24,118.88,15.57,35.92,531.85,11.44,47.33,128.86,32.22,250.11,51.19,0.97,33.81
monsoon,5.39,147.79,35.46,18.52,695.23,17.39,34.61,100.48,32.64,199.54,52.34,1.28,28.7
monsoon,4.04,258.66,63.9,14.31,"1,141.71",12.54,36.56,134.93,32.57,105.69,74.19,1.88,31.4
monsoon,2.98,67.51,36,18.45,364.7,23.86,45.43,156.36,33.77,91.27,64.9,2.78,31.85
monsoon,3.23,82.85,35.73,15.81,427.27,12.2,44.18,109.26,34.38,93.7,64.08,2.68,31.51
monsoon,6.06,88.19,38.59,22.69,454.11,12.19,34.6,62.28,31.55,114.65,65.94,1.68,29.43
monsoon,3.66,27.64,34.22,10.48,202.3,21.57,46.34,150.09,32.06,97.14,71.65,1.25,27.18
monsoon,2.65,56,11.28,7.64,290.25,12.72,41.11,162.09,33.83,98.59,78.82,0.47,32.46
monsoon,3.03,73.04,38.35,9.52,393.29,10.37,41.27,159.5,32.17,109.9,60.02,1.55,29.49
monsoon,4.75,81.12,41.35,22.59,433.23,10.43,34.84,139.55,32.57,138.54,67.76,0.85,31.48
monsoon,2.05,66.6,54.94,26.61,410.83,18.27,34,82.53,32.4,127.24,59.99,0.67,29.54
monsoon,1.11,26.01,45.85,21.67,232.55,10.92,29.8,85.58,32.9,84.89,66.72,3.13,30.32
monsoon,2.87,46.97,44.85,14.35,307.43,11.77,33.64,51.53,32.03,87.29,65.54,2.92,29.71
monsoon,2.84,9.71,17.08,10.32,117.47,34.41,29.35,47.27,32.87,86.65,69.05,3.35,27.94
monsoon,8.68,32.37,11.16,32.82,185.05,12.26,32.12,76.65,32.96,106.48,77.44,1.66,28.06
monsoon,6.45,84.54,27.79,22.86,422.94,13.69,43.83,164.69,33.77,210.24,77.05,0.46,27.55
monsoon,9.04,84.1,39.15,39.6,445.31,13.1,60.16,265.95,33.46,240.74,76.87,0.49,30.35
monsoon,6.06,125.06,67.54,21.31,677.34,14.91,37.36,195.68,33.12,235.23,66.19,0.46,31.65
monsoon,5.63,137.05,69.43,20.35,730.59,21.95,41.65,234.69,33.52,237.16,62.53,0.44,31.49
monsoon,4.8,149.44,95.82,27.26,"1,098.10",24.08,57.07,165.49,33.68,279.34,59.15,0.47,31.41
monsoon,5.3,23.08,96.07,15.41,860.91,13.13,72.54,216.69,33.74,252.6,60.26,0.46,28.78
monsoon,5.42,33.42,91.85,16.16,350.64,15.81,58.25,341.85,32.2,196.37,69.75,0.63,31.2
monsoon,4.77,33.8,74.67,13.62,276.36,8.69,81.13,238.67,32.46,239.14,62.05,0.31,31.9
monsoon,5.41,27.81,75.76,16.68,358.21,8.27,73.66,220.62,32.92,271.36,60.11,0.45,33.78
monsoon,3.2,36.54,31.56,11.3,81.89,8.21,58.35,221.06,33.36,183,53.59,0.5,32.7
monsoon,4.25,24.9,58.03,11.51,271.43,9.42,71.52,250.18,33.5,192.11,54.71,0.62,32.14
monsoon,4.09,20.99,55.61,11.35,249.11,14.1,84.43,205.94,33.08,251.97,56.76,0.51,32.27
monsoon,4.62,41.11,51.19,25.59,114.49,15.86,97.02,207.49,30.73,210.22,58.39,0.46,32.45
monsoon,4.89,46.71,66.02,42.46,163.18,12.91,39.6,113.17,29.93,149.31,58.13,0.44,30.97
monsoon,4.8,43.77,83.07,40.37,207.48,15.62,52.6,103.2,30.93,199.46,61.84,0.34,30.06
monsoon,4.89,28.23,86.67,33.84,278.5,13.16,58.5,126.68,32.26,272.38,63.49,0.32,31.04
monsoon,7.74,17.74,83.85,33.08,308.04,13.78,86.3,168.92,32.51,278.46,58.61,0.72,32.15
monsoon,7.9,28.49,89.48,22.31,326.95,14.26,96.44,174.05,32.68,269.38,54.09,0.49,32
monsoon,12.27,26.39,77.3,34.71,273.43,12.63,62.4,110.63,33.47,177.74,52.34,0.59,31.91
monsoon,9.54,21.62,108.29,28.84,431.65,14.71,20.69,31.82,32.64,147.32,49.89,0.4,30.77
monsoon,9.9,31.05,106.59,44.21,422.92,15.28,24.36,28.73,32.43,95.56,59.38,2.03,25.6
monsoon,7.73,20.26,130.22,20.3,591.67,25.47,42.62,89.84,32.16,99.93,78.24,1.72,24.58
monsoon,6.57,23.64,123.51,26.77,537.52,32.26,68.71,186.08,32.34,196.59,84.41,0.39,27.12
monsoon,6.76,18.82,121.24,13.7,484.12,29.94,91.4,313.31,31.72,276.72,73.06,0.44,30.22
monsoon,6.9,25.33,130.09,20.29,441.76,43.75,103.95,544.17,32.44,259.71,63.75,0.49,31.08
monsoon,9.25,14.34,106.45,27.27,439.6,22.11,128.23,501.43,32.84,246.98,59.06,0.47,31.61
monsoon,6.95,25.38,89.14,28.35,288.02,27.04,106.69,505.56,32.81,187.31,55.14,0.3,31.62
monsoon,6.99,27.16,121.43,36.96,398.16,16.25,98.24,384.2,32.04,174.27,53.44,0.32,31.57
monsoon,6.82,18.34,125.27,23.56,596.94,17.15,90.49,454.5,31.95,220.8,54.2,0.35,31.38
post monsoon,6.94,22.69,105.85,25.74,352.73,16.28,83.4,427.49,32.26,216.04,48.63,0.44,31.01
post monsoon,7.33,20.53,108.7,40.6,441,15.85,80.38,363.38,33.36,237.18,44.11,0.48,31.34
post monsoon,3.66,18.72,132.73,26.76,580.17,14.69,102.68,398.37,32.21,247.57,41.11,0.7,30.54
post monsoon,5.52,18.89,143.42,34.83,522.71,20.67,85.02,273.98,31.87,242,48.9,0.45,31.25
post monsoon,5.35,15.15,131.37,29.97,503.05,36.08,85.89,302.37,31.1,234.33,49.83,0.44,32.16
post monsoon,7.44,27.23,94.41,28.18,238.49,41.49,102.89,395.11,31.81,209.16,44.52,0.57,31.82
post monsoon,7.28,17.98,117.62,31.23,436.87,30.71,187.62,488.89,31.53,217.93,40.02,0.49,31.22
post monsoon,3.42,28.28,101.59,24.01,258.15,31.01,156.08,463.32,31.64,240.19,44.56,0.39,30.88
post monsoon,3.76,25.75,110.62,17.36,377.59,19.74,169.69,478.15,31.1,131.93,49.97,0.42,30.76
post monsoon,4.72,19.56,131.59,28.89,484.35,29.04,162.07,463.22,31.15,90.23,46.91,0.81,30.63
post monsoon,6.74,18.6,66.88,42.66,93.55,43.51,214.48,601.18,31.59,110.34,48.47,0.52,29.77
post monsoon,10.76,31.53,63.21,33.47,143.83,49.48,162.96,586.07,31.48,108.82,49.56,0.71,30.01
post monsoon,10.77,29.18,64.16,27.19,230.23,30.44,204.74,475.5,30.96,211.71,50.79,0.32,29.95
post monsoon,9.25,10.07,72.91,23.88,369.21,30.54,222.02,524.96,31.33,241.83,48.25,0.49,29.99
post monsoon,15.72,14.26,97.31,34.91,548.13,43.37,206.79,523.83,31.05,204.98,45.55,0.38,29.35
post monsoon,9.58,12.14,97.53,23.99,644.47,34.06,194.98,502.91,30.3,198.49,43.88,0.32,29.57
post monsoon,12.97,28.55,106.15,33.77,372.29,41.51,235.9,581.03,29.87,194.76,42.11,0.44,28.83
post monsoon,12.68,31.58,100.53,38.27,276.46,19.55,254.72,616.85,28.93,227.62,45.63,0.4,28.75
post monsoon,13.61,30.36,147.38,38.03,386.91,19.1,340.54,"1,026.91",30.49,183.61,44.36,0.44,29.79
post monsoon,9.97,10.43,115.02,32.07,467.2,11,364.42,677.14,30.38,128.73,46.95,0.39,29.21
post monsoon,5.48,16.58,126.55,21.88,608.32,56.87,216.85,583.18,30.08,138.45,47.16,0.43,28.07
post monsoon,5.01,17.84,93.79,40.4,464.34,70.67,232.53,649.67,29.59,198.09,47.44,0.31,28.13
post monsoon,5.33,20.01,97.33,18.81,339.17,75.74,223.22,588.33,29.5,145.27,42.95,0.58,27.81
post monsoon,4.75,22.29,79.51,12.3,105.67,54.6,255.75,676.2,28.11,166.16,43.27,0.34,26.87
post monsoon,6.21,36.66,83.71,15.62,165.92,62.53,247.99,670.65,26.29,229.83,44.18,0.48,26.14
post monsoon,3.45,68.25,103.46,8.89,237.69,58.02,203.69,430.65,26.13,219.72,45.09,0.4,26.52
post monsoon,3.96,68.05,85.83,10.4,234.6,50.26,245.19,498.5,25.78,109.49,46.71,0.94,25.99
post monsoon,7.64,75.45,114.62,16.02,260.79,91.42,240.67,440.94,25.76,101.37,49.64,0.87,25.87
post monsoon,8.11,56.01,96.75,18.17,209.64,73.19,270.75,683.72,25.53,123.34,48.14,0.64,25.25
post monsoon,7.72,53.1,110.91,17.77,242.64,56.92,352.39,648.67,25.11,106.24,52.09,0.83,25.01
post monsoon,11.54,30.06,129.23,25.11,445.72,14.45,199.32,347.41,23.84,157.68,54.3,0.35,24.59
post monsoon,9.97,81.7,134.39,21.7,460,15.89,185.02,330.53,24.47,125.19,56.35,0.61,25.1
post monsoon,10.52,89.97,145.81,26.95,513.01,33.16,223.1,398.29,24.39,88.74,55.26,1.66,24.64
post monsoon,9.65,66.98,161.58,19.72,607.26,17.32,249.85,520.07,24.13,94.51,61.03,1.1,24.22
post monsoon,11.82,67.8,173.83,33.1,630.77,20.11,300.71,601.31,24.17,98.45,62.35,0.84,24.31
post monsoon,12.05,53.4,193.62,51.37,623.03,19.14,320.32,550.78,24.35,106.8,62.29,0.88,24.61
post monsoon,10.62,86.42,182.01,29.18,618.83,17.06,330.2,180.28,25.12,163.77,57.16,0.35,24.23
post monsoon,11.56,77.24,178.09,33.65,744.84,37.32,311.74,NA,25.05,207.5,56.65,0.36,23.62
post monsoon,16.62,95.04,146.45,47.32,601.59,31.59,566.01,NA,24.18,179.62,61.75,0.32,21.34
post monsoon,14.98,62.38,136.42,36.64,609.77,29,574.47,6.45,23.81,147.54,70.1,0.33,22.35
post monsoon,15.93,64.78,153.27,38,626.23,32.61,477.88,NA,24.25,172.09,59.59,0.3,19.66
post monsoon,11.93,47.85,192.85,29.33,846.7,32.61,474.97,NA,23.73,159.17,68.01,0.32,21.88
post monsoon,5.15,42.75,149.73,14.01,780.87,41.54,516.11,NA,22.65,163.09,58.64,0.31,21.57
post monsoon,3.65,58.57,163.76,10.61,776.47,23.93,316.5,NA,22.28,155.57,60.31,0.3,21.32
post monsoon,5.63,77.27,108.01,11.88,288.35,28.59,250.21,60.17,22.51,82.21,60.24,0.66,22.42
post monsoon,10.03,74.75,87.85,23.29,218.32,120.45,248.97,78.62,22.48,95.82,52.44,1.35,21.89
post monsoon,16.55,76.24,88.88,43.48,211.27,66.43,185.95,141.58,22.52,78.51,48.94,1.07,20.85
post monsoon,6.65,66.13,113.76,22.27,345.93,61.22,163.42,165.58,22.45,157.59,55.1,0.37,20.98
post monsoon,2.7,49.45,149.35,15.29,656.84,69.69,147.21,172.79,22.25,222.28,54.79,0.37,22.88
post monsoon,5.01,49.86,138.33,14.17,744.3,59.96,194.04,152.13,22.37,280.69,49.31,0.34,20.38
post monsoon,4.65,83.11,116.61,9.73,541.11,58.41,230.19,41.01,22.7,272.54,43.74,0.35,18.94
post monsoon,2.86,63.54,80.64,7.34,155.25,38.3,251.89,278.82,23.6,273.65,39.52,0.39,17.95
post monsoon,3.91,68.77,71.66,8.37,179.49,25.71,230.83,274.33,23.1,262.29,42.4,0.47,18.58
post monsoon,3.87,63.77,66.01,8.51,159.46,25.55,304.38,624.93,22.34,261.46,40.11,0.38,18.63
post monsoon,6.54,59.87,61.5,15.19,141.01,25.08,268.01,615.83,22,259.71,36.57,0.34,18.62
post monsoon,7.98,82.88,93.76,18.53,247.2,36.47,291.2,534.88,21.96,249.02,40.25,0.37,18.87
post monsoon,6.51,81.7,97.84,14.81,269.92,50.12,279.75,520.11,22.24,249.75,40.71,0.33,22.08
post monsoon,4.09,81.46,123.59,8.85,491.31,45.55,280.31,612.63,23.37,215.97,34.81,0.3,18.59
post monsoon,5.89,86.29,124.96,12.68,376.5,30.51,359.27,668.95,23.47,252.99,43.9,0.42,19.26
post monsoon,11.35,86.84,116.66,27.12,335.15,27.36,339.25,836.57,23.21,233.26,44.33,0.32,20.04
post monsoon,8.21,77.94,99.22,16.67,267.98,24.62,299.88,757.35,22.54,120.58,46.04,0.42,19.39
post monsoon,7.21,73.37,116.78,15.41,440.12,24.07,418.13,833.59,22.01,178.36,49.78,0.3,18.42
post monsoon,10.77,68.25,152.96,24.92,701.11,28.71,424.71,661.92,22.15,209.3,47.18,0.31,17.69
post monsoon,9.41,74.46,124.78,23.49,537.85,20.44,464.34,307.46,22.35,167.13,49.27,0.3,17.22
post monsoon,8.52,87.93,143.5,22.47,600.84,17.15,357.63,298.85,22.18,184.06,50.76,0.3,17.76
post monsoon,10.34,78.78,161.96,28.67,788.94,29.6,140.12,413.19,21.05,185.68,51.35,0.3,19.51
post monsoon,12.31,86.77,140.28,32.29,658.88,19.59,98.15,704.95,20.82,213.38,49.59,0.3,20.1
post monsoon,10.6,85.44,126.21,22.05,624.37,16.37,155.18,821.41,19.41,269.73,35.62,0.31,19.93
post monsoon,8.94,77.78,134.12,23.47,709.14,19.21,313.58,639,22.26,269.83,25.95,0.45,18.74
post monsoon,7.37,72.01,130.62,14.97,656.78,21.75,396.43,213,21.32,266.49,32.44,0.43,18.48
post monsoon,8.35,81.38,88.09,21.88,290.06,19.39,353.5,341.76,22.68,228,41.7,0.31,18.35
post monsoon,7.6,63.52,83.92,21.7,248.21,18.34,145.38,320.85,21.45,203.17,47.24,0.32,17.58
post monsoon,10.62,66.18,87.17,22.07,275.08,23.58,174.49,342.05,21.53,145.92,56.25,0.58,17.07
post monsoon,6.69,65.65,92.14,12.06,204.78,19.61,184.89,328.21,22.2,184.45,70.46,0.59,16.58
post monsoon,7.07,42.54,82,13.76,201.57,18.55,198.29,346.04,22.46,260.81,67.64,0.32,13.83
post monsoon,10.2,87.1,123.67,21.19,434.07,17.12,116.78,489.48,23.57,250.66,70.22,0.43,13.03
post monsoon,5.68,87.04,104.51,11,358.36,20.4,181.58,700.54,25.14,253.84,66.06,0.41,18.62
post monsoon,6.4,91.08,128.73,11.64,550.95,27.59,265.35,653,25,278.98,36.02,0.8,17.64
post monsoon,5.05,92.93,138.88,8.82,715.9,33.8,441.41,383.42,24.91,276.78,41.54,0.46,16.66
post monsoon,,86.1,108.98,,343.55,29.03,416.12,374.13,25.23,256.42,49.73,0.32,16.86
,,,,,,,,,25.46,,,,18.62
,,,,,,,,,25.14,,,,18.67
,,,,,,,,,24.91,,,,18.07
,,,,,,,,,24.3,,,,16.49
,,,,,,,,,,,,,16.33
,,,,,,,,,,,,,16.45
,,,,,,,,,,,,,16.4
,,,,,,,,,,,,,17.47
,,,,,,,,,,,,,17.22
,,,,,,,,,,,,,16.12
,,,,,,,,,,,,,14.34
,,,,,,,,,,,,,13.18
,,,,,,,,,,,,,11.63
,,,,,,,,,,,,,12.41
,,,,,,,,,,,,,11.76
,,,,,,,,,,,,,11.24
,,,,,,,,,,,,,12.85
,,,,,,,,,,,,,13.66
,,,,,,,,,,,,,14.45
,,,,,,,,,,,,,14.27
,,,,,,,,,,,,,15.56
,,,,,,,,,,,,,16.02
,,,,,,,,,,,,,16.03
